"county","cntyname","LandSQMI","afact"
"02105","Hoonah-Angoon Census Area",7524.915,1 
"02110","Juneau Borough AK",2701.931,1 
"02122","Kenai Peninsula Borough AK",16075.331,1 
"02130","Ketchikan Gateway Borough AK",4858.414,1 
"02150","Kodiak Island Borough AK",6549.579,1 
"02164","Lake and Peninsula Borough AK",23652.009,1 
"02170","Matanuska-Susitna Borough AK",24607.898,1 
"02180","Nome Census Area AK",22961.761,1 
"02185","North Slope Borough AK",88695.413,1 
"02188","Northwest Arctic Borough AK",35572.584,1 
"02195","Petersburg Census Area",3281.982,1 
"02198","Prince of Wales-Hyder Census Area",3922.873,1 
"02220","Sitka Borough AK",2870.339,1 
"02230","Skagway Municipality",452.325,1 
"02240","Southeast Fairbanks Census Area AK",24768.808,1 
"02261","Valdez-Cordova Census Area AK",34239.88,1 
"02270","Wade Hampton Census Area AK (D)",17081.433,1 
"02275","Wrangell City and Borough",2541.483,1 
"02282","Yakutat Borough",7649.457,1 
"02290","Yukon-Koyukuk Census Area AK",145504.789,1 
"04001","Apache AZ",11197.521,1 
"04003","Cochise AZ",6165.69,1 
"04005","Coconino AZ",18618.885,1 
"04007","Gila AZ",4757.933,1 
"04009","Graham AZ",4622.597,1 
"04011","Greenlee AZ",1843.126,1 
"04012","La Paz AZ",4499.629,1 
"04013","Maricopa AZ",9200.143,1 
"04015","Mohave AZ",13311.084,1 
"04017","Navajo AZ",9950.422,1 
"04019","Pima AZ",9187.036,1 
"04021","Pinal AZ",5365.612,1 
"04023","Santa Cruz AZ",1236.916,1 
"04025","Yavapai AZ",8123.499,1 
"04027","Yuma AZ",5513.992,1 
"05001","Arkansas AR",988.77,1 
"05003","Ashley AR",925.349,1 
"05005","Baxter AR",554.283,1 
"05007","Benton AR",847.357,1 
"05009","Boone AR",590.231,1 
"05011","Bradley AR",649.231,1 
"05013","Calhoun AR",628.581,1 
"05015","Carroll AR",630.087,1 
"05017","Chicot AR",644.304,1 
"05019","Clark AR",866.074,1 
"05021","Clay AR",639.465,1 
"05023","Cleburne AR",553.692,1 
"05025","Cleveland AR",597.783,1 
"05027","Columbia AR",766.053,1 
"05029","Conway AR",552.25,1 
"05031","Craighead AR",707.206,1 
"05033","Crawford AR",593.094,1 
"05035","Crittenden AR",609.76,1 
"05037","Cross AR",616.381,1 
"05039","Dallas AR",667.386,1 
"05041","Desha AR",768.152,1 
"05043","Drew AR",828.356,1 
"05045","Faulkner AR",647.884,1 
"05047","Franklin AR",608.857,1 
"05049","Fulton AR",618.194,1 
"05051","Garland AR",677.781,1 
"05053","Grant AR",631.809,1 
"05055","Greene AR",577.699,1 
"05057","Hempstead AR",727.52,1 
"05059","Hot Spring AR",615.202,1 
"05061","Howard AR",588.554,1 
"05063","Independence AR",763.953,1 
"05065","Izard AR",580.577,1 
"05067","Jackson AR",633.938,1 
"05069","Jefferson AR",870.746,1 
"05071","Johnson AR",659.804,1 
"05073","Lafayette AR",528.268,1 
"05075","Lawrence AR",587.614,1 
"05077","Lee AR",602.621,1 
"05079","Lincoln AR",561.517,1 
"05081","Little River AR",532.253,1 
"05083","Logan AR",708.125,1 
"05085","Lonoke AR",770.728,1 
"05087","Madison AR",834.255,1 
"05089","Marion AR",597.009,1 
"05091","Miller AR",625.578,1 
"05093","Mississippi AR",900.574,1 
"05095","Monroe AR",607.122,1 
"05097","Montgomery AR",779.88,1 
"05099","Nevada AR",617.837,1 
"05101","Newton AR",820.896,1 
"05103","Ouachita AR",732.783,1 
"05105","Perry AR",551.402,1 
"05107","Phillips AR",695.663,1 
"05109","Pike AR",600.618,1 
"05111","Poinsett AR",758.389,1 
"05113","Polk AR",857.679,1 
"05115","Pope AR",812.548,1 
"05117","Prairie AR",647.958,1 
"05119","Pulaski AR",759.763,1 
"05121","Randolph AR",652.191,1 
"05123","St. Francis AR",634.771,1 
"05125","Saline AR",723.604,1 
"05127","Scott AR",892.32,1 
"05129","Searcy AR",666.095,1 
"05131","Sebastian AR",531.911,1 
"05133","Sevier AR",565.126,1 
"05135","Sharp AR",604.439,1 
"05137","Stone AR",606.405,1 
"05139","Union AR",1039.214,1 
"05141","Van Buren AR",708.143,1 
"05143","Washington AR",941.966,1 
"05145","White AR",1035.075,1 
"05147","Woodruff AR",586.791,1 
"05149","Yell AR",929.984,1 
"06001","Alameda CA",739.017,1 
"06003","Alpine CA",738.332,1 
"06005","Amador CA",594.583,1 
"06007","Butte CA",1636.464,1 
"06009","Calaveras CA",1020.012,1 
"06011","Colusa CA",1150.731,1 
"06013","Contra Costa CA",715.937,1 
"06015","Del Norte CA",1006.373,1 
"06017","El Dorado CA",1707.883,1 
"06019","Fresno CA",5957.991,1 
"06021","Glenn CA",1313.947,1 
"06023","Humboldt CA",3567.987,1 
"06025","Imperial CA",4176.603,1 
"06027","Inyo CA",10180.879,1 
"06029","Kern CA",8131.916,1 
"06031","Kings CA",1389.42,1 
"06033","Lake CA",1256.464,1 
"06035","Lassen CA",4541.184,1 
"06037","Los Angeles CA",4057.884,1 
"06039","Madera CA",2137.069,1 
"06041","Marin CA",520.306,1 
"06043","Mariposa CA",1448.816,1 
"06045","Mendocino CA",3506.343,1 
"06047","Merced CA",1934.972,1 
"06049","Modoc CA",3917.77,1 
"06051","Mono CA",3048.982,1 
"06053","Monterey CA",3280.595,1 
"06055","Napa CA",748.362,1 
"06057","Nevada CA",957.772,1 
"06059","Orange CA",790.568,1 
"06061","Placer CA",1407.009,1 
"06063","Plumas CA",2553.043,1 
"06065","Riverside CA",7206.48,1 
"06067","Sacramento CA",964.644,1 
"06069","San Benito CA",1388.71,1 
"06071","San Bernardino CA",20056.938,1 
"06073","San Diego CA",4206.63,1 
"06075","San Francisco CA",46.873,1 
"06077","San Joaquin CA",1391.322,1 
"06079","San Luis Obispo CA",3298.567,1 
"06081","San Mateo CA",448.408,1 
"06083","Santa Barbara CA",2735.085,1 
"06085","Santa Clara CA",1290.1,1 
"06087","Santa Cruz CA",445.17,1 
"06089","Shasta CA",3775.402,1 
"06091","Sierra CA",953.214,1 
"06093","Siskiyou CA",6277.887,1 
"06095","Solano CA",821.765,1 
"06097","Sonoma CA",1575.849,1 
"06099","Stanislaus CA",1494.827,1 
"06101","Sutter CA",602.41,1 
"06103","Tehama CA",2949.709,1 
"06105","Trinity CA",3179.254,1 
"06107","Tulare CA",4824.215,1 
"06109","Tuolumne CA",2220.884,1 
"06111","Ventura CA",1843.133,1 
"06113","Yolo CA",1014.689,1 
"06115","Yuba CA",631.839,1 
"08001","Adams CO",1167.653,1 
"08003","Alamosa CO",722.643,1 
"08005","Arapahoe CO",798.1,1 
"08007","Archuleta CO",1350.175,1 
"08009","Baca CO",2554.967,1 
"08011","Bent CO",1512.861,1 
"08013","Boulder CO",726.289,1 
"08014","Broomfield CO",33.034,1 
"08015","Chaffee CO",1013.403,1 
"08017","Cheyenne CO",1778.276,1 
"08019","Clear Creek CO",395.227,1 
"08021","Conejos CO",1287.391,1 
"08023","Costilla CO",1226.952,1 
"08025","Crowley CO",787.421,1 
"08027","Custer CO",738.625,1 
"08029","Delta CO",1142.05,1 
"08031","Denver CO",153,1 
"08033","Dolores CO",1067.051,1 
"08035","Douglas CO",840.248,1 
"08037","Eagle CO",1684.53,1 
"08039","Elbert CO",1850.847,1 
"08041","El Paso CO",2126.801,1 
"08043","Fremont CO",1533.068,1 
"08045","Garfield CO",2947.563,1 
"08047","Gilpin CO",149.896,1 
"08049","Grand CO",1846.33,1 
"08051","Gunnison CO",3239.1,1 
"08053","Hinsdale CO",1117.251,1 
"08055","Huerfano CO",1591.001,1 
"08057","Jackson CO",1613.723,1 
"08059","Jefferson CO",764.208,1 
"08061","Kiowa CO",1767.767,1 
"08063","Kit Carson CO",2160.822,1 
"08065","Lake CO",376.911,1 
"08067","La Plata CO",1692.078,1 
"08069","Larimer CO",2596.002,1 
"08071","Las Animas CO",4772.672,1 
"08073","Lincoln CO",2577.626,1 
"08075","Logan CO",1838.547,1 
"08077","Mesa CO",3328.974,1 
"08079","Mineral CO",875.666,1 
"08081","Moffat CO",4743.29,1 
"08083","Montezuma CO",2029.527,1 
"08085","Montrose CO",2240.695,1 
"08087","Morgan CO",1280.433,1 
"08089","Otero CO",1261.961,1 
"08091","Ouray CO",541.593,1 
"08093","Park CO",2193.846,1 
"08095","Phillips CO",687.928,1 
"08097","Pitkin CO",970.697,1 
"08099","Prowers CO",1638.395,1 
"08101","Pueblo CO",2386.104,1 
"08103","Rio Blanco CO",3220.934,1 
"08105","Rio Grande CO",911.958,1 
"08107","Routt CO",2362.026,1 
"08109","Saguache CO",3168.525,1 
"08111","San Juan CO",387.488,1 
"08113","San Miguel CO",1286.611,1 
"08115","Sedgwick CO",548.041,1 
"08117","Summit CO",608.358,1 
"08119","Teller CO",557.055,1 
"08121","Washington CO",2518.031,1 
"08123","Weld CO",3987.238,1 
"08125","Yuma CO",2364.405,1 
"09001","Fairfield CT",624.89,1 
"09003","Hartford CT",735.097,1 
"09005","Litchfield CT",920.56,1 
"09007","Middlesex CT",369.301,1 
"09009","New Haven CT",604.506,1 
"09011","New London CT",664.878,1 
"09013","Tolland CT",410.214,1 
"09015","Windham CT",512.91,1 
"10001","Kent DE",586.179,1 
"10003","New Castle DE",426.286,1 
"10005","Sussex DE",936.079,1 
"11001","District of Columbia DC",61.048,1 
"12001","Alachua FL",875.02,1 
"12003","Baker FL",585.231,1 
"12005","Bay FL",758.459,1 
"12007","Bradford FL",293.962,1 
"12009","Brevard FL",1015.664,1 
"12011","Broward FL",1209.785,1 
"12013","Calhoun FL",567.334,1 
"12015","Charlotte FL",680.279,1 
"12017","Citrus FL",581.696,1 
"12019","Clay FL",604.36,1 
"12021","Collier FL",1998.324,1 
"12023","Columbia FL",797.574,1 
"12027","DeSoto FL",637.059,1 
"12029","Dixie FL",705.053,1 
"12031","Duval FL",762.192,1 
"12033","Escambia FL",656.461,1 
"12035","Flagler FL",485.461,1 
"12037","Franklin FL",534.725,1 
"12039","Gadsden FL",516.332,1 
"12041","Gilchrist FL",349.677,1 
"12043","Glades FL",806.009,1 
"12045","Gulf FL",564.012,1 
"12047","Hamilton FL",513.79,1 
"12049","Hardee FL",637.783,1 
"12051","Hendry FL",1152.75,1 
"12053","Hernando FL",472.539,1 
"12055","Highlands FL",1016.615,1 
"12057","Hillsborough FL",1020.214,1 
"12059","Holmes FL",478.777,1 
"12061","Indian River FL",502.872,1 
"12063","Jackson FL",917.76,1 
"12065","Jefferson FL",598.095,1 
"12067","Lafayette FL",543.411,1 
"12069","Lake FL",938.381,1 
"12071","Lee FL",784.513,1 
"12073","Leon FL",666.852,1 
"12075","Levy FL",1118.206,1 
"12077","Liberty FL",835.562,1 
"12079","Madison FL",695.948,1 
"12081","Manatee FL",742.931,1 
"12083","Marion FL",1584.546,1 
"12085","Martin FL",543.464,1 
"12086","Miami-Dade FL",1897.716,1 
"12087","Monroe FL",983.282,1 
"12089","Nassau FL",648.639,1 
"12091","Okaloosa FL",930.247,1 
"12093","Okeechobee FL",768.908,1 
"12095","Orange FL",903.429,1 
"12097","Osceola FL",1327.453,1 
"12099","Palm Beach FL",1969.763,1 
"12101","Pasco FL",746.886,1 
"12103","Pinellas FL",273.799,1 
"12105","Polk FL",1797.837,1 
"12107","Putnam FL",727.622,1 
"12109","St. Johns FL",600.655,1 
"12111","St. Lucie FL",571.926,1 
"12113","Santa Rosa FL",1011.605,1 
"12115","Sarasota FL",555.868,1 
"12117","Seminole FL",309.221,1 
"12119","Sumter FL",546.933,1 
"12121","Suwannee FL",688.552,1 
"12123","Taylor FL",1043.305,1 
"12125","Union FL",243.556,1 
"12127","Volusia FL",1101.032,1 
"12129","Wakulla FL",606.419,1 
"12131","Walton FL",1037.625,1 
"12133","Washington FL",582.803,1 
"13001","Appling GA",507.081,1 
"13003","Atkinson GA",339.382,1 
"13005","Bacon GA",258.576,1 
"13007","Baker GA",341.944,1 
"13009","Baldwin GA",257.844,1 
"13011","Banks GA",232.091,1 
"13013","Barrow GA",160.309,1 
"13015","Bartow GA",459.544,1 
"13017","Ben Hill GA",250.121,1 
"13019","Berrien GA",451.897,1 
"13021","Bibb GA",249.762,1 
"13023","Bleckley GA",215.87,1 
"13025","Brantley GA",442.362,1 
"13027","Brooks GA",493.046,1 
"13029","Bryan GA",435.967,1 
"13031","Bulloch GA",672.809,1 
"13033","Burke GA",826.968,1 
"13035","Butts GA",184.393,1 
"13037","Calhoun GA",280.367,1 
"13039","Camden GA",613.025,1 
"13043","Candler GA",243.044,1 
"13045","Carroll GA",499.076,1 
"13047","Catoosa GA",162.159,1 
"13049","Charlton GA",773.576,1 
"13051","Chatham GA",426.437,1 
"13053","Chattahoochee GA",248.736,1 
"13055","Chattooga GA",313.338,1 
"13057","Cherokee GA",421.674,1 
"13059","Clarke GA",119.2,1 
"13061","Clay GA",195.381,1 
"13063","Clayton GA",141.57,1 
"13065","Clinch GA",800.222,1 
"13067","Cobb GA",339.549,1 
"13069","Coffee GA",575.097,1 
"13071","Colquitt GA",544.153,1 
"13073","Columbia GA",290.09,1 
"13075","Cook GA",227.162,1 
"13077","Coweta GA",440.892,1 
"13079","Crawford GA",324.888,1 
"13081","Crisp GA",272.583,1 
"13083","Dade GA",173.981,1 
"13085","Dawson GA",210.83,1 
"13087","Decatur GA",597.14,1 
"13089","DeKalb GA",267.582,1 
"13091","Dodge GA",495.89,1 
"13093","Dooly GA",391.94,1 
"13095","Dougherty GA",328.689,1 
"13097","Douglas GA",200.067,1 
"13099","Early GA",512.594,1 
"13101","Echols GA",414.894,1 
"13103","Effingham GA",477.7,1 
"13105","Elbert GA",351.055,1 
"13107","Emanuel GA",680.604,1 
"13109","Evans GA",182.853,1 
"13111","Fannin GA",386.723,1 
"13113","Fayette GA",194.342,1 
"13115","Floyd GA",509.911,1 
"13117","Forsyth GA",224.021,1 
"13119","Franklin GA",261.497,1 
"13121","Fulton GA",526.635,1 
"13123","Gilmer GA",426.54,1 
"13125","Glascock GA",143.74,1 
"13127","Glynn GA",419.753,1 
"13129","Gordon GA",355.808,1 
"13131","Grady GA",454.527,1 
"13133","Greene GA",387.435,1 
"13135","Gwinnett GA",430.383,1 
"13137","Habersham GA",276.74,1 
"13139","Hall GA",392.782,1 
"13141","Hancock GA",471.841,1 
"13143","Haralson GA",282.165,1 
"13145","Harris GA",463.869,1 
"13147","Hart GA",232.394,1 
"13149","Heard GA",296.03,1 
"13151","Henry GA",322.127,1 
"13153","Houston GA",375.541,1 
"13155","Irwin GA",354.343,1 
"13157","Jackson GA",339.663,1 
"13159","Jasper GA",368.165,1 
"13161","Jeff Davis GA",330.74,1 
"13163","Jefferson GA",526.485,1 
"13165","Jenkins GA",347.279,1 
"13167","Johnson GA",303.01,1 
"13169","Jones GA",393.933,1 
"13171","Lamar GA",183.5,1 
"13173","Lanier GA",185.261,1 
"13175","Laurens GA",807.296,1 
"13177","Lee GA",355.784,1 
"13179","Liberty GA",489.801,1 
"13181","Lincoln GA",210.38,1 
"13183","Long GA",400.293,1 
"13185","Lowndes GA",496.066,1 
"13187","Lumpkin GA",282.933,1 
"13189","McDuffie GA",257.461,1 
"13191","McIntosh GA",424.299,1 
"13193","Macon GA",400.641,1 
"13195","Madison GA",282.311,1 
"13197","Marion GA",366.003,1 
"13199","Meriwether GA",501.223,1 
"13201","Miller GA",282.421,1 
"13205","Mitchell GA",512.085,1 
"13207","Monroe GA",395.658,1 
"13209","Montgomery GA",239.523,1 
"13211","Morgan GA",347.349,1 
"13213","Murray GA",344.466,1 
"13215","Muscogee GA",216.385,1 
"13217","Newton GA",272.161,1 
"13219","Oconee GA",184.29,1 
"13221","Oglethorpe GA",439.012,1 
"13223","Paulding GA",312.219,1 
"13225","Peach GA",150.267,1 
"13227","Pickens GA",232.057,1 
"13229","Pierce GA",316.494,1 
"13231","Pike GA",216.086,1 
"13233","Polk GA",310.331,1 
"13235","Pulaski GA",249.031,1 
"13237","Putnam GA",344.639,1 
"13239","Quitman GA",151.237,1 
"13241","Rabun GA",369.993,1 
"13243","Randolph GA",428.236,1 
"13245","Richmond GA",324.326,1 
"13247","Rockdale GA",129.793,1 
"13249","Schley GA",166.906,1 
"13251","Screven GA",645.101,1 
"13253","Seminole GA",235.226,1 
"13255","Spalding GA",196.469,1 
"13257","Stephens GA",179.131,1 
"13259","Stewart GA",458.733,1 
"13261","Sumter GA",482.697,1 
"13263","Talbot GA",391.389,1 
"13265","Taliaferro GA",194.608,1 
"13267","Tattnall GA",479.403,1 
"13269","Taylor GA",376.686,1 
"13271","Telfair GA",437.303,1 
"13273","Terrell GA",335.439,1 
"13275","Thomas GA",544.596,1 
"13277","Tift GA",258.915,1 
"13279","Toombs GA",364.005,1 
"13281","Towns GA",166.563,1 
"13283","Treutlen GA",199.436,1 
"13285","Troup GA",413.988,1 
"13287","Turner GA",285.393,1 
"13289","Twiggs GA",358.398,1 
"13291","Union GA",321.926,1 
"13293","Upson GA",323.437,1 
"13295","Walker GA",446.379,1 
"13297","Walton GA",325.68,1 
"13299","Ware GA",892.461,1 
"13301","Warren GA",284.298,1 
"13303","Washington GA",678.452,1 
"13305","Wayne GA",641.777,1 
"13307","Webster GA",209.118,1 
"13309","Wheeler GA",295.484,1 
"13311","White GA",240.686,1 
"13313","Whitfield GA",290.464,1 
"13315","Wilcox GA",377.705,1 
"13317","Wilkes GA",469.49,1 
"13319","Wilkinson GA",447.308,1 
"13321","Worth GA",570.702,1 
"15001","Hawaii HI",4028.417,1 
"15003","Honolulu HI",600.743,1 
"15005","Kalawao HI",11.991,1 
"15007","Kauai HI",619.956,1 
"15009","Maui HI",1161.521,1 
"16001","Ada ID",1052.576,1 
"16003","Adams ID",1363.056,1 
"16005","Bannock ID",1111.988,1 
"16007","Bear Lake ID",974.785,1 
"16009","Benewah ID",776.617,1 
"16011","Bingham ID",2093.978,1 
"16013","Blaine ID",2643.586,1 
"16015","Boise ID",1899.237,1 
"16017","Bonner ID",1734.573,1 
"16019","Bonneville ID",1866.077,1 
"16021","Boundary ID",1268.56,1 
"16023","Butte ID",2231.667,1 
"16025","Camas ID",1074.493,1 
"16027","Canyon ID",587.37,1 
"16029","Caribou ID",1764.146,1 
"16031","Cassia ID",2565.081,1 
"16033","Clark ID",1764.185,1 
"16035","Clearwater ID",2457.274,1 
"16037","Custer ID",4920.94,1 
"16039","Elmore ID",3074.738,1 
"16041","Franklin ID",663.645,1 
"16043","Fremont ID",1863.525,1 
"16045","Gem ID",560.9,1 
"16047","Gooding ID",728.973,1 
"16049","Idaho ID",8477.352,1 
"16051","Jefferson ID",1093.501,1 
"16053","Jerome ID",597.185,1 
"16055","Kootenai ID",1244.125,1 
"16057","Latah ID",1075.996,1 
"16059","Lemhi ID",4563.387,1 
"16061","Lewis ID",478.795,1 
"16063","Lincoln ID",1201.405,1 
"16065","Madison ID",469.206,1 
"16067","Minidoka ID",757.591,1 
"16069","Nez Perce ID",848.092,1 
"16071","Oneida ID",1200.061,1 
"16073","Owyhee ID",7665.511,1 
"16075","Payette ID",406.867,1 
"16077","Power ID",1404.244,1 
"16079","Shoshone ID",2629.665,1 
"16081","Teton ID",449.456,1 
"16083","Twin Falls ID",1921.213,1 
"16085","Valley ID",3664.515,1 
"16087","Washington ID",1452.982,1 
"17001","Adams IL",855.202,1 
"17003","Alexander IL",235.509,1 
"17005","Bond IL",380.279,1 
"17007","Boone IL",280.719,1 
"17009","Brown IL",305.607,1 
"17011","Bureau IL",869.031,1 
"17013","Calhoun IL",253.825,1 
"17015","Carroll IL",444.807,1 
"17017","Cass IL",375.818,1 
"17019","Champaign IL",996.266,1 
"17021","Christian IL",709.377,1 
"17023","Clark IL",501.418,1 
"17025","Clay IL",468.316,1 
"17027","Clinton IL",474.085,1 
"17029","Coles IL",508.291,1 
"17031","Cook IL",945.326,1 
"17033","Crawford IL",443.629,1 
"17035","Cumberland IL",346.024,1 
"17037","DeKalb IL",631.307,1 
"17039","De Witt IL",397.513,1 
"17041","Douglas IL",416.665,1 
"17043","DuPage IL",327.499,1 
"17045","Edgar IL",623.374,1 
"17047","Edwards IL",222.416,1 
"17049","Effingham IL",478.777,1 
"17051","Fayette IL",716.482,1 
"17053","Ford IL",485.616,1 
"17055","Franklin IL",408.889,1 
"17057","Fulton IL",865.595,1 
"17059","Gallatin IL",323.071,1 
"17061","Greene IL",543.019,1 
"17063","Grundy IL",418.043,1 
"17065","Hamilton IL",434.665,1 
"17067","Hancock IL",793.726,1 
"17069","Hardin IL",177.528,1 
"17071","Henderson IL",378.872,1 
"17073","Henry IL",822.985,1 
"17075","Iroquois IL",1117.316,1 
"17077","Jackson IL",584.081,1 
"17079","Jasper IL",494.51,1 
"17081","Jefferson IL",571.169,1 
"17083","Jersey IL",369.271,1 
"17085","Jo Daviess IL",601.087,1 
"17087","Johnson IL",343.915,1 
"17089","Kane IL",520.058,1 
"17091","Kankakee IL",676.556,1 
"17093","Kendall IL",320.335,1 
"17095","Knox IL",716.395,1 
"17097","Lake IL",443.67,1 
"17099","La Salle IL",1135.124,1 
"17101","Lawrence IL",372.178,1 
"17103","Lee IL",724.896,1 
"17105","Livingston IL",1044.285,1 
"17107","Logan IL",618.059,1 
"17109","McDonough IL",589.407,1 
"17111","McHenry IL",603.171,1 
"17113","McLean IL",1183.378,1 
"17115","Macon IL",580.689,1 
"17117","Macoupin IL",862.906,1 
"17119","Madison IL",715.582,1 
"17121","Marion IL",572.363,1 
"17123","Marshall IL",386.789,1 
"17125","Mason IL",539.238,1 
"17127","Massac IL",237.218,1 
"17129","Menard IL",314.437,1 
"17131","Mercer IL",561.202,1 
"17133","Monroe IL",385.011,1 
"17135","Montgomery IL",703.687,1 
"17137","Morgan IL",568.791,1 
"17139","Moultrie IL",335.943,1 
"17141","Ogle IL",758.574,1 
"17143","Peoria IL",619.209,1 
"17145","Perry IL",441.761,1 
"17147","Piatt IL",439.202,1 
"17149","Pike IL",831.381,1 
"17151","Pope IL",368.77,1 
"17153","Pulaski IL",199.185,1 
"17155","Putnam IL",160.161,1 
"17157","Randolph IL",575.5,1 
"17159","Richland IL",359.99,1 
"17161","Rock Island IL",427.636,1 
"17163","St. Clair IL",657.759,1 
"17165","Saline IL",379.819,1 
"17167","Sangamon IL",868.302,1 
"17169","Schuyler IL",437.273,1 
"17171","Scott IL",250.913,1 
"17173","Shelby IL",758.523,1 
"17175","Stark IL",288.079,1 
"17177","Stephenson IL",564.523,1 
"17179","Tazewell IL",648.974,1 
"17181","Union IL",413.459,1 
"17183","Vermilion IL",898.368,1 
"17185","Wabash IL",223.252,1 
"17187","Warren IL",542.405,1 
"17189","Washington IL",562.572,1 
"17191","Wayne IL",713.814,1 
"17193","White IL",494.766,1 
"17195","Whiteside IL",684.25,1 
"17197","Will IL",836.908,1 
"17199","Williamson IL",420.149,1 
"17201","Winnebago IL",513.362,1 
"17203","Woodford IL",527.799,1 
"18001","Adams IN",339.028,1 
"18003","Allen IN",657.308,1 
"18005","Bartholomew IN",406.908,1 
"18007","Benton IN",406.418,1 
"18009","Blackford IN",165.08,1 
"18011","Boone IN",422.913,1 
"18013","Brown IN",311.981,1 
"18015","Carroll IN",372.224,1 
"18017","Cass IN",412.155,1 
"18019","Clark IN",372.855,1 
"18021","Clay IN",357.542,1 
"18023","Clinton IN",405.07,1 
"18025","Crawford IN",305.643,1 
"18027","Daviess IN",429.487,1 
"18029","Dearborn IN",305.034,1 
"18031","Decatur IN",372.568,1 
"18033","De Kalb IN",362.824,1 
"18035","Delaware IN",392.124,1 
"18037","Dubois IN",427.269,1 
"18039","Elkhart IN",463.17,1 
"18041","Fayette IN",215.014,1 
"18043","Floyd IN",147.935,1 
"18045","Fountain IN",395.656,1 
"18047","Franklin IN",384.43,1 
"18049","Fulton IN",368.388,1 
"18051","Gibson IN",487.486,1 
"18053","Grant IN",414.074,1 
"18055","Greene IN",542.495,1 
"18057","Hamilton IN",394.267,1 
"18059","Hancock IN",306.016,1 
"18061","Harrison IN",484.516,1 
"18063","Hendricks IN",406.911,1 
"18065","Henry IN",391.876,1 
"18067","Howard IN",293.057,1 
"18069","Huntington IN",382.651,1 
"18071","Jackson IN",509.312,1 
"18073","Jasper IN",559.625,1 
"18075","Jay IN",383.905,1 
"18077","Jefferson IN",360.631,1 
"18079","Jennings IN",376.583,1 
"18081","Johnson IN",320.427,1 
"18083","Knox IN",516.031,1 
"18085","Kosciusko IN",531.381,1 
"18087","Lagrange IN",379.624,1 
"18089","Lake IN",498.961,1 
"18091","La Porte IN",598.299,1 
"18093","Lawrence IN",449.168,1 
"18095","Madison IN",451.915,1 
"18097","Marion IN",396.298,1 
"18099","Marshall IN",443.629,1 
"18101","Martin IN",335.737,1 
"18103","Miami IN",373.842,1 
"18105","Monroe IN",394.509,1 
"18107","Montgomery IN",504.613,1 
"18109","Morgan IN",403.969,1 
"18111","Newton IN",401.759,1 
