"mState.Providence","Country.Region","population"
"Merrick County, NE","United States",7787
"Morrill County, NE","United States",4854
"Nance County, NE","United States",3595
"Nemaha County, NE","United States",7046
"Nuckolls County, NE","United States",4329
"Otoe County, NE","United States",15984
"Pawnee County, NE","United States",2659
"Perkins County, NE","United States",2944
"Phelps County, NE","United States",9296
"Pierce County, NE","United States",7208
"Platte County, NE","United States",32847
"Polk County, NE","United States",5202
"Red Willow County, NE","United States",10829
"Richardson County, NE","United States",8094
"Rock County, NE","United States",1381
"Saline County, NE","United States",14282
"Sarpy County, NE","United States",175692
"Saunders County, NE","United States",21016
"Scotts Bluff County, NE","United States",36261
"Seward County, NE","United States",17110
"Sheridan County, NE","United States",5220
"Sherman County, NE","United States",3091
"Sioux County, NE","United States",1260
"Stanton County, NE","United States",5937
"Thayer County, NE","United States",5163
"Thomas County, NE","United States",684
"Thurston County, NE","United States",7064
"Valley County, NE","United States",4154
"Washington County, NE","United States",20248
"Wayne County, NE","United States",9367
"Webster County, NE","United States",3625
"Wheeler County, NE","United States",750
"York County, NE","United States",13806
"Churchill County, NV","United States",24200
"Clark County, NV","United States",2114801
"Douglas County, NV","United States",47710
"Elko County, NV","United States",51935
"Esmeralda County, NV","United States",829
"Eureka County, NV","United States",2016
"Humboldt County, NV","United States",17019
"Lander County, NV","United States",5903
"Lincoln County, NV","United States",5036
"Lyon County, NV","United States",52585
"Mineral County, NV","United States",4478
"Nye County, NV","United States",42477
"Pershing County, NV","United States",6634
"Storey County, NV","United States",3987
"Washoe County, NV","United States",446903
"White Pine County, NV","United States",9811
"Carson City, NV","United States",54521
"Belknap County, NH","United States",60641
"Carroll County, NH","United States",47285
"Cheshire County, NH","United States",75909
"Coos County, NH","United States",31212
"Grafton County, NH","United States",89320
"Hillsborough County, NH","United States",406678
"Merrimack County, NH","United States",147994
"Rockingham County, NH","United States",301777
"Strafford County, NH","United States",126825
"Sullivan County, NH","United States",42967
"Atlantic County, NJ","United States",274219
"Bergen County, NJ","United States",938506
"Burlington County, NJ","United States",450226
"Camden County, NJ","United States",510923
"Cape May County, NJ","United States",94727
"Cumberland County, NJ","United States",155854
"Essex County, NJ","United States",797434
"Gloucester County, NJ","United States",291479
"Hudson County, NJ","United States",674836
"Hunterdon County, NJ","United States",125488
"Mercer County, NJ","United States",371398
"Middlesex County, NJ","United States",840900
"Monmouth County, NJ","United States",628715
"Morris County, NJ","United States",499509
"Ocean County, NJ","United States",588721
"Passaic County, NJ","United States",510916
"Salem County, NJ","United States",64180
"Somerset County, NJ","United States",333654
"Sussex County, NJ","United States",143673
"Union County, NJ","United States",555786
"Warren County, NJ","United States",106869
"Bernalillo County, NM","United States",676685
"Catron County, NM","United States",3456
"Chaves County, NM","United States",65764
"Cibola County, NM","United States",27329
"Colfax County, NM","United States",12414
"Curry County, NM","United States",50398
"De Baca County, NM","United States",1828
"Dona Ana County, NM","United States",214295
"Eddy County, NM","United States",57578
"Grant County, NM","United States",28609
"Guadalupe County, NM","United States",4371
"Harding County, NM","United States",698
"Hidalgo County, NM","United States",4423
"Lea County, NM","United States",71180
"Lincoln County, NM","United States",19420
"Los Alamos County, NM","United States",17785
"Luna County, NM","United States",24518
"McKinley County, NM","United States",76708
"Mora County, NM","United States",4596
"Otero County, NM","United States",64362
"Quay County, NM","United States",8455
"Rio Arriba County, NM","United States",39465
"Roosevelt County, NM","United States",19120
"Sandoval County, NM","United States",139394
"San Juan County, NM","United States",118737
"San Miguel County, NM","United States",27967
"Santa Fe County, NM","United States",148686
"Sierra County, NM","United States",11282
"Socorro County, NM","United States",17256
"Taos County, NM","United States",32907
"Torrance County, NM","United States",15485
"Union County, NM","United States",4201
"Valencia County, NM","United States",75737
"Albany County, NY","United States",309381
"Allegany County, NY","United States",47462
"Bronx County, NY","United States",1455444
"Broome County, NY","United States",196567
"Cattaraugus County, NY","United States",77922
"Cayuga County, NY","United States",78288
"Chautauqua County, NY","United States",130779
"Chemung County, NY","United States",87071
"Chenango County, NY","United States",48844
"Clinton County, NY","United States",81251
"Columbia County, NY","United States",61509
"Cortland County, NY","United States",48494
"Delaware County, NY","United States",46053
"Dutchess County, NY","United States",295754
"Erie County, NY","United States",922578
"Essex County, NY","United States",38478
"Franklin County, NY","United States",50660
"Fulton County, NY","United States",53992
"Genesee County, NY","United States",58937
"Greene County, NY","United States",47625
"Hamilton County, NY","United States",4712
"Herkimer County, NY","United States",63100
"Jefferson County, NY","United States",117635
"Kings County, NY","United States",2636735
"Lewis County, NY","United States",26957
"Livingston County, NY","United States",64717
"Madison County, NY","United States",71849
"Monroe County, NY","United States",749600
"Montgomery County, NY","United States",49642
"Nassau County, NY","United States",1361350
"New York County, NY","United States",1644518
"Niagara County, NY","United States",212652
"Oneida County, NY","United States",232500
"Onondaga County, NY","United States",468463
"Ontario County, NY","United States",109561
"Orange County, NY","United States",377647
"Orleans County, NY","United States",41582
"Oswego County, NY","United States",120146
"Otsego County, NY","United States",60636
"Putnam County, NY","United States",99042
"Queens County, NY","United States",2339150
"Rensselaer County, NY","United States",160266
"Richmond County, NY","United States",474558
"Rockland County, NY","United States",326037
"St. Lawrence County, NY","United States",111007
"Saratoga County, NY","United States",226249
"Schenectady County, NY","United States",154604
"Schoharie County, NY","United States",31330
"Schuyler County, NY","United States",18186
"Seneca County, NY","United States",34833
"Steuben County, NY","United States",97631
"Suffolk County, NY","United States",1501587
"Sullivan County, NY","United States",74877
"Tioga County, NY","United States",49453
"Tompkins County, NY","United States",104926
"Ulster County, NY","United States",180143
"Warren County, NY","United States",64688
"Washington County, NY","United States",62230
"Wayne County, NY","United States",91446
"Westchester County, NY","United States",976396
"Wyoming County, NY","United States",41013
"Yates County, NY","United States",25048
"Alamance County, NC","United States",158276
"Alexander County, NC","United States",37325
"Alleghany County, NC","United States",10837
"Anson County, NC","United States",25759
"Ashe County, NC","United States",27020
"Avery County, NC","United States",17689
"Beaufort County, NC","United States",47651
"Bertie County, NC","United States",20199
"Bladen County, NC","United States",34318
"Brunswick County, NC","United States",122765
"Buncombe County, NC","United States",253178
"Burke County, NC","United States",88842
"Cabarrus County, NC","United States",196762
"Caldwell County, NC","United States",81287
"Camden County, NC","United States",10309
"Carteret County, NC","United States",68879
"Caswell County, NC","United States",22941
"Catawba County, NC","United States",155056
"Chatham County, NC","United States",70928
"Cherokee County, NC","United States",27178
"Chowan County, NC","United States",14394
"Clay County, NC","United States",10703
"Cleveland County, NC","United States",96879
"Columbus County, NC","United States",56694
"Craven County, NC","United States",103451
"Cumberland County, NC","United States",323838
"Currituck County, NC","United States",25263
"Dare County, NC","United States",35663
"Davidson County, NC","United States",164622
"Davie County, NC","United States",41753
"Duplin County, NC","United States",59159
"Durham County, NC","United States",300952
"Edgecombe County, NC","United States",54150
"Forsyth County, NC","United States",369019
"Franklin County, NC","United States",63710
"Gaston County, NC","United States",213442
"Gates County, NC","United States",11431
"Graham County, NC","United States",8616
"Granville County, NC","United States",58674
"Greene County, NC","United States",21134
"Guilford County, NC","United States",517600
"Halifax County, NC","United States",52456
"Harnett County, NC","United States",128140
"Haywood County, NC","United States",59868
"Henderson County, NC","United States",112655
"Hertford County, NC","United States",24184
"Hoke County, NC","United States",52671
"Hyde County, NC","United States",5526
"Iredell County, NC","United States",169866
"Jackson County, NC","United States",41265
"Johnston County, NC","United States",185660
"Jones County, NC","United States",10013
"Lee County, NC","United States",59660
"Lenoir County, NC","United States",58106
"Lincoln County, NC","United States",81035
"McDowell County, NC","United States",44989
"Macon County, NC","United States",34201
"Madison County, NC","United States",21139
"Martin County, NC","United States",23357
"Mecklenburg County, NC","United States",1034070
"Mitchell County, NC","United States",15246
"Montgomery County, NC","United States",27548
"Moore County, NC","United States",94352
"Nash County, NC","United States",93919
"New Hanover County, NC","United States",220358
"Northampton County, NC","United States",20426
"Onslow County, NC","United States",186311
"Orange County, NC","United States",141354
"Pamlico County, NC","United States",12781
"Pasquotank County, NC","United States",39829
"Pender County, NC","United States",57611
"Perquimans County, NC","United States",13440
"Person County, NC","United States",39259
"Pitt County, NC","United States",175842
"Polk County, NC","United States",20366
"Randolph County, NC","United States",142799
"Richmond County, NC","United States",45437
"Robeson County, NC","United States",134197
"Rockingham County, NC","United States",91758
"Rowan County, NC","United States",139142
"Rutherford County, NC","United States",66390
"Sampson County, NC","United States",63724
"Scotland County, NC","United States",35509
"Stanly County, NC","United States",60714
"Stokes County, NC","United States",46351
"Surry County, NC","United States",72743
"Swain County, NC","United States",14434
"Transylvania County, NC","United States",33211
"Tyrrell County, NC","United States",4070
"Union County, NC","United States",222742
"Vance County, NC","United States",44568
"Wake County, NC","United States",1024198
"Warren County, NC","United States",20155
"Washington County, NC","United States",12385
"Watauga County, NC","United States",52906
"Wayne County, NC","United States",124132
"Wilkes County, NC","United States",68502
"Wilson County, NC","United States",81714
"Yadkin County, NC","United States",37585
"Yancey County, NC","United States",17587
"Adams County, ND","United States",2359
"Barnes County, ND","United States",11099
"Benson County, ND","United States",6753
"Billings County, ND","United States",936
"Bottineau County, ND","United States",6716
"Bowman County, ND","United States",3294
"Burke County, ND","United States",2308
"Burleigh County, ND","United States",92991
"Cass County, ND","United States",171512
"Cavalier County, ND","United States",3828
"Dickey County, ND","United States",5104
"Divide County, ND","United States",2450
"Dunn County, ND","United States",4646
"Eddy County, ND","United States",2365
"Emmons County, ND","United States",3402
"Foster County, ND","United States",3356
"Golden Valley County, ND","United States",1845
"Grand Forks County, ND","United States",70916
"Grant County, ND","United States",2388
"Griggs County, ND","United States",2314
"Hettinger County, ND","United States",2704
"Kidder County, ND","United States",2417
"LaMoure County, ND","United States",4125
"Logan County, ND","United States",1935
"McHenry County, ND","United States",5968
"McIntosh County, ND","United States",2759
"McKenzie County, ND","United States",12826
"McLean County, ND","United States",9744
"Mercer County, ND","United States",8853
"Morton County, ND","United States",30310
"Mountrail County, ND","United States",10331
"Nelson County, ND","United States",2968
"Oliver County, ND","United States",1846
"Pembina County, ND","United States",7091
"Pierce County, ND","United States",4312
"Ramsey County, ND","United States",11630
"Ransom County, ND","United States",5448
"Renville County, ND","United States",2571
"Richland County, ND","United States",16402
"Rolette County, ND","United States",14649
"Sargent County, ND","United States",3876
"Sheridan County, ND","United States",1310
"Sioux County, ND","United States",4370
"Slope County, ND","United States",767
"Stark County, ND","United States",32154
"Steele County, ND","United States",1956
"Stutsman County, ND","United States",21103
"Towner County, ND","United States",2272
"Traill County, ND","United States",8014
"Walsh County, ND","United States",10897
"Ward County, ND","United States",71275
"Wells County, ND","United States",4168
"Williams County, ND","United States",35294
"Adams County, OH","United States",28024
"Allen County, OH","United States",104425
"Ashland County, OH","United States",53213
"Ashtabula County, OH","United States",98632
"Athens County, OH","United States",65886
"Auglaize County, OH","United States",45876
"Belmont County, OH","United States",69154
"Brown County, OH","United States",43839
"Butler County, OH","United States",376353
"Carroll County, OH","United States",27811
"Champaign County, OH","United States",38987
"Clark County, OH","United States",135959
"Clermont County, OH","United States",201973
"Clinton County, OH","United States",41917
"Columbiana County, OH","United States",104806
"Coshocton County, OH","United States",36569
"Crawford County, OH","United States",42306
"Cuyahoga County, OH","United States",1255921
"Darke County, OH","United States",52076
"Defiance County, OH","United States",38352
"Delaware County, OH","United States",193013
"Erie County, OH","United States",75550
"Fairfield County, OH","United States",151408
"Fayette County, OH","United States",28679
"Franklin County, OH","United States",1251722
"Fulton County, OH","United States",42537
"Gallia County, OH","United States",30142
"Geauga County, OH","United States",94102
"Greene County, OH","United States",164427
"Guernsey County, OH","United States",39258
"Hamilton County, OH","United States",807598
"Hancock County, OH","United States",75573
"Hardin County, OH","United States",31682
"Harrison County, OH","United States",15450
"Henry County, OH","United States",27816
"Highland County, OH","United States",43026
"Hocking County, OH","United States",28491
"Holmes County, OH","United States",43909
"Huron County, OH","United States",58469
"Jackson County, OH","United States",32596
"Jefferson County, OH","United States",67347
"Knox County, OH","United States",61061
"Lake County, OH","United States",229245
"Lawrence County, OH","United States",61109
"Licking County, OH","United States",170570
"Logan County, OH","United States",45386
"Lorain County, OH","United States",305147
"Lucas County, OH","United States",433689
"Madison County, OH","United States",44094
"Mahoning County, OH","United States",231900
"Marion County, OH","United States",65355
"Medina County, OH","United States",176395
"Meigs County, OH","United States",23257
"Mercer County, OH","United States",40968
"Miami County, OH","United States",104224
"Monroe County, OH","United States",14409
"Montgomery County, OH","United States",532258
"Morgan County, OH","United States",14777
"Morrow County, OH","United States",35074
"Muskingum County, OH","United States",86290
"Noble County, OH","United States",14326
"Ottawa County, OH","United States",40877
"Paulding County, OH","United States",18976
"Perry County, OH","United States",35985
"Pickaway County, OH","United States",56998
"Pike County, OH","United States",28217
"Portage County, OH","United States",162275
"Preble County, OH","United States",41329
"Putnam County, OH","United States",34042
"Richland County, OH","United States",121707
"Ross County, OH","United States",77170
"Sandusky County, OH","United States",59679
"Scioto County, OH","United States",76825
"Seneca County, OH","United States",55610
"Shelby County, OH","United States",48901
"Stark County, OH","United States",375165
"Summit County, OH","United States",541968
"Trumbull County, OH","United States",203751
"Tuscarawas County, OH","United States",92916
"Union County, OH","United States",54277
"Van Wert County, OH","United States",28562
"Vinton County, OH","United States",13048
"Warren County, OH","United States",224469
"Washington County, OH","United States",61112
"Wayne County, OH","United States",116063
"Williams County, OH","United States",37120
"Wood County, OH","United States",129730
"Wyandot County, OH","United States",22243
"Adair County, OK","United States",22004
"Alfalfa County, OK","United States",5868
"Atoka County, OK","United States",13793
"Beaver County, OK","United States",5427
"Beckham County, OK","United States",23768
"Blaine County, OK","United States",9833
"Bryan County, OK","United States",44884
"Caddo County, OK","United States",29343
"Canadian County, OK","United States",133378
"Carter County, OK","United States",48689
"Cherokee County, OK","United States",48447
"Choctaw County, OK","United States",14997
"Cimarron County, OK","United States",2216
"Cleveland County, OK","United States",274458
"Coal County, OK","United States",5651
"Comanche County, OK","United States",124648
"Cotton County, OK","United States",5996
"Craig County, OK","United States",14818
"Creek County, OK","United States",70892
"Custer County, OK","United States",29744
"Delaware County, OK","United States",41459
"Dewey County, OK","United States",4995
"Ellis County, OK","United States",4231
"Garfield County, OK","United States",63569
"Garvin County, OK","United States",27755
"Grady County, OK","United States",54648
"Grant County, OK","United States",4523
"Greer County, OK","United States",6070
"Harmon County, OK","United States",2788
"Harper County, OK","United States",3754
"Haskell County, OK","United States",12845
"Hughes County, OK","United States",13735
"Jackson County, OK","United States",25574
"Jefferson County, OK","United States",6276
"Johnston County, OK","United States",10980
"Kay County, OK","United States",45366
"Kingfisher County, OK","United States",15584
"Kiowa County, OK","United States",9144
"Latimer County, OK","United States",10483
"Le Flore County, OK","United States",49605
"Lincoln County, OK","United States",35042
"Logan County, OK","United States",45996
"Love County, OK","United States",9870
"McClain County, OK","United States",38066
"McCurtain County, OK","United States",33048
"McIntosh County, OK","United States",19990
"Major County, OK","United States",7771
"Marshall County, OK","United States",16232
"Mayes County, OK","United States",40887
"Murray County, OK","United States",13936
"Muskogee County, OK","United States",69699
"Noble County, OK","United States",11554
"Nowata County, OK","United States",10539
"Okfuskee County, OK","United States",12181
"Oklahoma County, OK","United States",776864
"Okmulgee County, OK","United States",39187
"Osage County, OK","United States",47887
"Ottawa County, OK","United States",31981
"Pawnee County, OK","United States",16436
"Payne County, OK","United States",80850
"Pittsburg County, OK","United States",44610
"Pontotoc County, OK","United States",38194
"Pottawatomie County, OK","United States",71875
"Pushmataha County, OK","United States",11183
"Roger Mills County, OK","United States",3788
"Rogers County, OK","United States",90802
"Seminole County, OK","United States",25548
"Sequoyah County, OK","United States",41153
"Stephens County, OK","United States",44581
"Texas County, OK","United States",21489
"Tillman County, OK","United States",7515
"Tulsa County, OK","United States",639242
"Wagoner County, OK","United States",76559
"Washington County, OK","United States",52021
"Washita County, OK","United States",11661
"Woods County, OK","United States",9304
"Woodward County, OK","United States",21559
"Baker County, OR","United States",16005
"Benton County, OR","United States",87572
"Clackamas County, OR","United States",401515
"Clatsop County, OR","United States",37831
"Columbia County, OR","United States",49600
"Coos County, OR","United States",63121
"Crook County, OR","United States",21630
"Curry County, OR","United States",22483
"Deschutes County, OR","United States",175268
"Douglas County, OR","United States",107685
"Gilliam County, OR","United States",1859
"Grant County, OR","United States",7185
"Harney County, OR","United States",7200
"Hood River County, OR","United States",23137
"Jackson County, OR","United States",212567
"Jefferson County, OR","United States",22666
"Josephine County, OR","United States",84745
"Klamath County, OR","United States",66016
"Lake County, OR","United States",7829
"Lane County, OR","United States",362895
"Lincoln County, OR","United States",47038
"Linn County, OR","United States",120547
"Malheur County, OR","United States",30380
"Marion County, OR","United States",330700
"Morrow County, OR","United States",11190
"Multnomah County, OR","United States",790294
"Polk County, OR","United States",79391
"Sherman County, OR","United States",1680
"Tillamook County, OR","United States",25653
"Umatilla County, OR","United States",76531
"Union County, OR","United States",25790
"Wallowa County, OR","United States",6856
"Wasco County, OR","United States",25775
"Washington County, OR","United States",574326
"Wheeler County, OR","United States",1358
"Yamhill County, OR","United States",102659
"Adams County, PA","United States",102295
"Allegheny County, PA","United States",1230459
"Armstrong County, PA","United States",67052
"Beaver County, PA","United States",168871
"Bedford County, PA","United States",48586
"Berks County, PA","United States",415271
"Blair County, PA","United States",125593
"Bradford County, PA","United States",61281
"Bucks County, PA","United States",627367
"Butler County, PA","United States",186818
"Cambria County, PA","United States",136411
"Cameron County, PA","United States",4732
"Carbon County, PA","United States",63960
"Centre County, PA","United States",160580
"Chester County, PA","United States",515939
"Clarion County, PA","United States",39498
"Clearfield County, PA","United States",80994
"Clinton County, PA","United States",39441
"Columbia County, PA","United States",66672
"Crawford County, PA","United States",86484
"Cumberland County, PA","United States",246338
"Dauphin County, PA","United States",272983
"Delaware County, PA","United States",563894
"Elk County, PA","United States",30872
"Erie County, PA","United States",278045
"Fayette County, PA","United States",133628
"Forest County, PA","United States",7410
"Franklin County, PA","United States",153638
"Fulton County, PA","United States",14629
"Greene County, PA","United States",37519
"Huntingdon County, PA","United States",45668
"Indiana County, PA","United States",86966
"Jefferson County, PA","United States",44430
"Juniata County, PA","United States",24737
"Lackawanna County, PA","United States",211917
"Lancaster County, PA","United States",536624
"Lawrence County, PA","United States",88082
"Lebanon County, PA","United States",137067
"Lehigh County, PA","United States",360685
"Luzerne County, PA","United States",318449
"Lycoming County, PA","United States",116048
"McKean County, PA","United States",42412
"Mercer County, PA","United States",114234
"Mifflin County, PA","United States",46500
"Monroe County, PA","United States",166397
"Montgomery County, PA","United States",819264
"Montour County, PA","United States",18557
"Northampton County, PA","United States",300813
"Northumberland County, PA","United States",93246
"Perry County, PA","United States",45685
"Philadelphia County, PA","United States",1567442
"Pike County, PA","United States",55949
"Potter County, PA","United States",17093
"Schuylkill County, PA","United States",144590
"Snyder County, PA","United States",40444
"Somerset County, PA","United States",75522
"Sullivan County, PA","United States",6328
"Susquehanna County, PA","United States",41666
"Tioga County, PA","United States",41877
"Union County, PA","United States",44954
"Venango County, PA","United States",53119
"Warren County, PA","United States",40396
"Washington County, PA","United States",208261
"Wayne County, PA","United States",51198
"Westmoreland County, PA","United States",357956
"Wyoming County, PA","United States",27800
"York County, PA","United States",442867
"Bristol County, RI","United States",49084
"Kent County, RI","United States",164801
"Newport County, RI","United States",82423
"Providence County, RI","United States",633473
"Washington County, RI","United States",126517
"Abbeville County, SC","United States",24932
"Aiken County, SC","United States",165829
"Allendale County, SC","United States",9433
"Anderson County, SC","United States",194692
"Bamberg County, SC","United States",14880
"Barnwell County, SC","United States",21725
"Beaufort County, SC","United States",179589
"Berkeley County, SC","United States",202786
"Calhoun County, SC","United States",14781
"Charleston County, SC","United States",389262
"Cherokee County, SC","United States",56194
"Chester County, SC","United States",32267
"Chesterfield County, SC","United States",46017
"Clarendon County, SC","United States",33775
"Colleton County, SC","United States",37731
"Darlington County, SC","United States",67548
"Dillon County, SC","United States",31234
"Dorchester County, SC","United States",152478
"Edgefield County, SC","United States",26514
"Fairfield County, SC","United States",22747
"Florence County, SC","United States",138900
"Georgetown County, SC","United States",61298
"Greenville County, SC","United States",491863
"Greenwood County, SC","United States",69838
"Hampton County, SC","United States",20049
"Horry County, SC","United States",309199
"Jasper County, SC","United States",27824
"Kershaw County, SC","United States",63603
"Lancaster County, SC","United States",85842
"Laurens County, SC","United States",66623
"Lee County, SC","United States",17896
"Lexington County, SC","United States",281833
"McCormick County, SC","United States",9706
"Marion County, SC","United States",31747
"Marlboro County, SC","United States",27494
"Newberry County, SC","United States",38012
"Oconee County, SC","United States",75713
"Orangeburg County, SC","United States",89208
"Pickens County, SC","United States",121691
"Richland County, SC","United States",407051
"Saluda County, SC","United States",20053
"Spartanburg County, SC","United States",297302
"Sumter County, SC","United States",107480
"Union County, SC","United States",27777
"Williamsburg County, SC","United States",32535
"York County, SC","United States",251195
"Aurora County, SD","United States",2733
"Beadle County, SD","United States",18372
"Bennett County, SD","United States",3423
"Bon Homme County, SD","United States",6985
"Brookings County, SD","United States",33897
"Brown County, SD","United States",38785
"Brule County, SD","United States",5281
"Buffalo County, SD","United States",2095
"Butte County, SD","United States",10283
"Campbell County, SD","United States",1397
"Charles Mix County, SD","United States",9383
"Clark County, SD","United States",3659
"Clay County, SD","United States",13964
"Codington County, SD","United States",27939
"Corson County, SD","United States",4197
"Custer County, SD","United States",8446
"Davison County, SD","United States",19858
"Day County, SD","United States",5539
"Deuel County, SD","United States",4333
"Dewey County, SD","United States",5685
"Douglas County, SD","United States",2977
"Edmunds County, SD","United States",3999
"Fall River County, SD","United States",6867
"Faulk County, SD","United States",2337
"Grant County, SD","United States",7142
"Gregory County, SD","United States",4201
"Haakon County, SD","United States",1861
"Hamlin County, SD","United States",6047
"Hand County, SD","United States",3348
"Hanson County, SD","United States",3385
"Harding County, SD","United States",1267
"Hughes County, SD","United States",17555
"Hutchinson County, SD","United States",7301
"Hyde County, SD","United States",1397
"Jackson County, SD","United States",3321
"Jerauld County, SD","United States",1997
"Jones County, SD","United States",924
"Kingsbury County, SD","United States",4990
"Lake County, SD","United States",12622
"Lawrence County, SD","United States",24827
"Lincoln County, SD","United States",52849
"Lyman County, SD","United States",3876
"McCook County, SD","United States",5599
"McPherson County, SD","United States",2415
"Marshall County, SD","United States",4769
"Meade County, SD","United States",26986
"Mellette County, SD","United States",2050
"Miner County, SD","United States",2236
"Minnehaha County, SD","United States",185197
"Moody County, SD","United States",6430
"Oglala Lakota County, SD","United States",14373
"Pennington County, SD","United States",108702
"Perkins County, SD","United States",3019
"Potter County, SD","United States",2320
"Roberts County, SD","United States",10311
"Sanborn County, SD","United States",2355
"Spink County, SD","United States",6524
"Stanley County, SD","United States",2954
"Sully County, SD","United States",1426
"Todd County, SD","United States",9959
"Tripp County, SD","United States",5434
"Turner County, SD","United States",8209
"Union County, SD","United States",14909
"Walworth County, SD","United States",5443
"Yankton County, SD","United States",22702
"Ziebach County, SD","United States",2803
"Anderson County, TN","United States",75749
"Bedford County, TN","United States",47183
"Benton County, TN","United States",16129
"Bledsoe County, TN","United States",14502
"Blount County, TN","United States",127253
"Bradley County, TN","United States",104091
"Campbell County, TN","United States",39752
"Cannon County, TN","United States",13840
"Carroll County, TN","United States",27910
"Carter County, TN","United States",56486
"Cheatham County, TN","United States",39741
"Chester County, TN","United States",17471
"Claiborne County, TN","United States",31709
"Clay County, TN","United States",7771
"Cocke County, TN","United States",35162
"Coffee County, TN","United States",54277
"Crockett County, TN","United States",14601
"Cumberland County, TN","United States",58229
"Davidson County, TN","United States",678889
"Decatur County, TN","United States",11660
"DeKalb County, TN","United States",19182
"Dickson County, TN","United States",51487
"Dyer County, TN","United States",37893
"Fayette County, TN","United States",39165
"Fentress County, TN","United States",17917
"Franklin County, TN","United States",41449
"Gibson County, TN","United States",49399
"Giles County, TN","United States",28946
"Grainger County, TN","United States",22846
"Greene County, TN","United States",68580
"Grundy County, TN","United States",13441
"Hamblen County, TN","United States",63402
"Hamilton County, TN","United States",354098
"Hancock County, TN","United States",6572
"Hardeman County, TN","United States",25707
"Hardin County, TN","United States",25756
"Hawkins County, TN","United States",56471
"Haywood County, TN","United States",18023
"Henderson County, TN","United States",28015
"Henry County, TN","United States",32147
"Hickman County, TN","United States",24363
"Houston County, TN","United States",8149
"Humphreys County, TN","United States",18135
"Jackson County, TN","United States",11509
"Jefferson County, TN","United States",53240
"Johnson County, TN","United States",17830
"Knox County, TN","United States",451324
"Lake County, TN","United States",7576
"Lauderdale County, TN","United States",26936
"Lawrence County, TN","United States",42564
"Lewis County, TN","United States",11854
"Lincoln County, TN","United States",33743
"Loudon County, TN","United States",51130
"McMinn County, TN","United States",52639
"McNairy County, TN","United States",26066
"Macon County, TN","United States",23177
"Madison County, TN","United States",97610
"Marion County, TN","United States",28487
"Marshall County, TN","United States",31552
"Maury County, TN","United States",87757
"Meigs County, TN","United States",11830
"Monroe County, TN","United States",45771
"Montgomery County, TN","United States",193479
"Moore County, TN","United States",6322
"Morgan County, TN","United States",21498
"Obion County, TN","United States",30639
"Overton County, TN","United States",22129
"Perry County, TN","United States",7929
"Pickett County, TN","United States",5146
"Polk County, TN","United States",16773
"Putnam County, TN","United States",74553
"Rhea County, TN","United States",32526
"Roane County, TN","United States",52753
"Robertson County, TN","United States",68570
"Rutherford County, TN","United States",298612
"Scott County, TN","United States",21950
"Sequatchie County, TN","United States",14811
"Sevier County, TN","United States",95946
"Shelby County, TN","United States",938069
"Smith County, TN","United States",19295
"Stewart County, TN","United States",13259
"Sullivan County, TN","United States",156791
"Sumner County, TN","United States",175989
"Tipton County, TN","United States",61870
"Trousdale County, TN","United States",8042
"Unicoi County, TN","United States",17860
"Union County, TN","United States",19119
"Van Buren County, TN","United States",5677
"Warren County, TN","United States",40435
"Washington County, TN","United States",126302
"Wayne County, TN","United States",16748
"Weakley County, TN","United States",33960
"White County, TN","United States",26521
"Williamson County, TN","United States",211672
"Wilson County, TN","United States",128911
"Anderson County, TX","United States",57580
"Andrews County, TX","United States",18105
"Angelina County, TX","United States",88255
"Aransas County, TX","United States",25350
"Archer County, TX","United States",8715
"Armstrong County, TX","United States",1947
"Atascosa County, TX","United States",48435
"Austin County, TX","United States",29563
"Bailey County, TX","United States",7210
"Bandera County, TX","United States",21269
"Bastrop County, TX","United States",80527
"Baylor County, TX","United States",3618
"Bee County, TX","United States",32874
"Bell County, TX","United States",334941
"Bexar County, TX","United States",1897753
"Blanco County, TX","United States",11004
"Borden County, TX","United States",648
"Bosque County, TX","United States",17891
"Bowie County, TX","United States",93389
"Brazoria County, TX","United States",346312
"Brazos County, TX","United States",215037
"Brewster County, TX","United States",9145
"Briscoe County, TX","United States",1505
"Brooks County, TX","United States",7230
"Brown County, TX","United States",37896
"Burleson County, TX","United States",17460
"Burnet County, TX","United States",45463
"Caldwell County, TX","United States",40522
"Calhoun County, TX","United States",21895
"Callahan County, TX","United States",13557
"Cameron County, TX","United States",422156
"Camp County, TX","United States",12682
"Carson County, TX","United States",5969
"Cass County, TX","United States",30313
"Castro County, TX","United States",7656
"Chambers County, TX","United States",38863
"Cherokee County, TX","United States",51542
"Childress County, TX","United States",7088
"Clay County, TX","United States",10360
"Cochran County, TX","United States",2953
"Coke County, TX","United States",3238
"Coleman County, TX","United States",8338
"Collin County, TX","United States",914127
"Collingsworth County, TX","United States",3044
"Colorado County, TX","United States",20870
"Comal County, TX","United States",129048
"Comanche County, TX","United States",13430
"Concho County, TX","United States",4081
"Cooke County, TX","United States",39229
"Coryell County, TX","United States",75503
"Cottle County, TX","United States",1426
"Crane County, TX","United States",5048
"Crockett County, TX","United States",3710
"Crosby County, TX","United States",5977
"Culberson County, TX","United States",2236
"Dallam County, TX","United States",7121
"Dallas County, TX","United States",2553385
"Dawson County, TX","United States",13520
"Deaf Smith County, TX","United States",18952
"Delta County, TX","United States",5217
"Denton County, TX","United States",780612
"DeWitt County, TX","United States",20797
