"mState.Providence","Country.Region","population"
"Rio Blanco County, CO","United States",6571
"Rio Grande County, CO","United States",11543
"Routt County, CO","United States",24130
"Saguache County, CO","United States",6251
"San Juan County, CO","United States",701
"San Miguel County, CO","United States",7879
"Sedgwick County, CO","United States",2399
"Summit County, CO","United States",30257
"Teller County, CO","United States",23385
"Washington County, CO","United States",4864
"Weld County, CO","United States",285174
"Yuma County, CO","United States",10146
"Fairfield County, CT","United States",948053
"Hartford County, CT","United States",895841
"Litchfield County, CT","United States",183603
"Middlesex County, CT","United States",164063
"New Haven County, CT","United States",859470
"New London County, CT","United States",271863
"Tolland County, CT","United States",151420
"Windham County, CT","United States",116573
"Kent County, DE","United States",173533
"New Castle County, DE","United States",556779
"Sussex County, DE","United States",215622
"Washington, DC","United States",672228
"Alachua County, FL","United States",259964
"Baker County, FL","United States",27420
"Bay County, FL","United States",181635
"Bradford County, FL","United States",26928
"Brevard County, FL","United States",568088
"Broward County, FL","United States",1896425
"Calhoun County, FL","United States",14462
"Charlotte County, FL","United States",173115
"Citrus County, FL","United States",141058
"Clay County, FL","United States",203967
"Collier County, FL","United States",357305
"Columbia County, FL","United States",68348
"DeSoto County, FL","United States",35458
"Dixie County, FL","United States",16203
"Duval County, FL","United States",913010
"Escambia County, FL","United States",311003
"Flagler County, FL","United States",105392
"Franklin County, FL","United States",11761
"Gadsden County, FL","United States",46036
"Gilchrist County, FL","United States",17199
"Glades County, FL","United States",13670
"Gulf County, FL","United States",15871
"Hamilton County, FL","United States",14295
"Hardee County, FL","United States",27502
"Hendry County, FL","United States",39119
"Hernando County, FL","United States",178439
"Highlands County, FL","United States",99491
"Hillsborough County, FL","United States",1349050
"Holmes County, FL","United States",19324
"Indian River County, FL","United States",147919
"Jackson County, FL","United States",48599
"Jefferson County, FL","United States",14081
"Lafayette County, FL","United States",8663
"Lake County, FL","United States",325875
"Lee County, FL","United States",701982
"Leon County, FL","United States",286272
"Levy County, FL","United States",39832
"Liberty County, FL","United States",8331
"Madison County, FL","United States",18408
"Manatee County, FL","United States",363369
"Marion County, FL","United States",343254
"Martin County, FL","United States",156283
"Miami-Dade County, FL","United States",2693117
"Monroe County, FL","United States",77482
"Nassau County, FL","United States",78444
"Okaloosa County, FL","United States",198664
"Okeechobee County, FL","United States",39469
"Orange County, FL","United States",1288126
"Osceola County, FL","United States",323993
"Palm Beach County, FL","United States",1422789
"Pasco County, FL","United States",497909
"Pinellas County, FL","United States",949827
"Polk County, FL","United States",650092
"Putnam County, FL","United States",72023
"St. Johns County, FL","United States",226640
"St. Lucie County, FL","United States",298563
"Santa Rosa County, FL","United States",167040
"Sarasota County, FL","United States",405549
"Seminole County, FL","United States",449144
"Sumter County, FL","United States",118891
"Suwannee County, FL","United States",43760
"Taylor County, FL","United States",22493
"Union County, FL","United States",15234
"Volusia County, FL","United States",517887
"Wakulla County, FL","United States",31535
"Walton County, FL","United States",63508
"Washington County, FL","United States",24687
"Appling County, GA","United States",18454
"Atkinson County, GA","United States",8398
"Bacon County, GA","United States",11299
"Baker County, GA","United States",3180
"Baldwin County, GA","United States",45459
"Banks County, GA","United States",18495
"Barrow County, GA","United States",75370
"Bartow County, GA","United States",102747
"Ben Hill County, GA","United States",17403
"Berrien County, GA","United States",18963
"Bibb County, GA","United States",153721
"Bleckley County, GA","United States",12243
"Brantley County, GA","United States",18455
"Brooks County, GA","United States",15658
"Bryan County, GA","United States",35137
"Bulloch County, GA","United States",72651
"Burke County, GA","United States",22745
"Butts County, GA","United States",23593
"Calhoun County, GA","United States",6479
"Camden County, GA","United States",52102
"Candler County, GA","United States",10886
"Carroll County, GA","United States",114545
"Catoosa County, GA","United States",66050
"Charlton County, GA","United States",12965
"Chatham County, GA","United States",286956
"Chattahoochee County, GA","United States",11368
"Chattooga County, GA","United States",24922
"Cherokee County, GA","United States",235900
"Clarke County, GA","United States",123912
"Clay County, GA","United States",3141
"Clayton County, GA","United States",273955
"Clinch County, GA","United States",6893
"Cobb County, GA","United States",741334
"Coffee County, GA","United States",43108
"Colquitt County, GA","United States",45844
"Columbia County, GA","United States",144052
"Cook County, GA","United States",17124
"Coweta County, GA","United States",138427
"Crawford County, GA","United States",12388
"Crisp County, GA","United States",22881
"Dade County, GA","United States",16264
"Dawson County, GA","United States",23312
"Decatur County, GA","United States",27174
"DeKalb County, GA","United States",734871
"Dodge County, GA","United States",20882
