"region","b1","start_date","loss","initial.infected"
"Livingston County, MI",0.43,"2020-03-07",0.446093407716492,1
"Lorain County, OH",0.53,"2020-03-07",0.444582206244775,1
"Los Angeles County, CA",1.26,"2020-02-28",2.7091763348454,1
"Loudoun County, VA",0.58,"2020-03-07",0.391938401440594,1
"Lowndes County, AL",0,"2020-03-17",0.345943917847014,1
"Lubbock County, TX",1.31,"2020-03-13",1.40426957629032,1
"Lucas County, OH",0.91,"2020-03-06",0.643522908824434,1
"Luzerne County, PA",1.02,"2020-03-06",0.494150243058819,1
"Lycoming County, PA",0,"2020-03-10",0.284196161598352,1
"Macomb County, MI",1.01,"2020-02-28",3.05311221856097,1
"Macon County, IL",0.02,"2020-03-13",0.224971193778868,1
"Madison County, IL",0.02,"2020-03-13",0.224976984854565,1
"Madison County, IN",0.83,"2020-03-07",1.27214493493872,1
"Madison County, MS",0.48,"2020-03-14",0.469834939922048,1
"Mahoning County, OH",1.32,"2020-03-06",1.28458766761174,1
"Manatee County, FL",0.76,"2020-03-06",1.2673195946891,1
"Maricopa County, AZ",0.76,"2020-02-28",2.69916764704378,1
"Marin County, CA",0.91,"2020-03-06",0.834451583064383,1
"Marion County, IN",0.82,"2020-02-28",1.70582828676542,1
"Marion County, OH",0,"2020-03-10",0.286676585439861,1
"Marion County, OR",0.87,"2020-03-06",0.373971175701065,1
"Martin County, FL",0.63,"2020-03-14",0.674340499551081,1
"McHenry County, IL",0.62,"2020-03-06",0.367692963319854,1
"McKinley County, NM",0.2,"2020-03-13",0.374417364977506,1
"McMinn County, TN",0,"2020-03-16",0.338515059665611,1
"Mecklenburg County, NC",0.73,"2020-03-07",1.09918538188952,1
"Medina County, OH",0.33,"2020-03-08",0.333634189625992,1
"Mercer County, NJ",0.63,"2020-03-07",0.892297769695836,1
"Merrimack County, NH",0,"2020-03-16",0.255157654375375,1
"Miami County, OH",1.16,"2020-03-06",0.60559040488056,1
"Miami-Dade County, FL",1.33,"2020-03-06",5.78952356768642,1
"Middlesex County, CT",0.48,"2020-03-07",0.29093336644652,1
"Middlesex County, MA",0.95,"2020-02-28",3.96544435376326,1
"Middlesex County, NJ",1.01,"2020-02-28",5.63688717295279,1
"Milwaukee County, WI",0.8,"2020-02-28",3.65994498004218,1
"Minnehaha County, SD",0.3,"2020-02-19",5.94452087806216,1
"Mobile County, AL",0.7,"2020-03-06",0.898610088228886,1
"Mohave County, AZ",0.02,"2020-03-15",0.454984050444773,1
"Monmouth County, NJ",0.96,"2020-02-28",4.27582618205459,1
"Monroe County, IN",0,"2020-03-16",0.216695293636892,1
"Monroe County, MI",0,"2020-03-16",0.221818570553253,1
"Monroe County, MS",0.43,"2020-03-14",0.283672296890922,1
"Monroe County, NY",1.33,"2020-03-06",0.743253853702095,1
"Monroe County, OH",0,"2020-03-10",0.286833698702757,1
"Monroe County, PA",1.27,"2020-03-05",0.973183424409941,1
"Montgomery County, AL",0.23,"2020-03-12",0.234528088955476,1
"Montgomery County, IN",0,"2020-03-16",0.216724304343481,1
"Montgomery County, MD",1.27,"2020-03-05",4.18499599144475,1
"Montgomery County, OH",0.38,"2020-03-07",0.407871743468924,1
"Montgomery County, PA",0.78,"2020-02-29",1.86536069295998,1
"Montgomery County, TX",0.83,"2020-03-13",0.535038316094332,1
"Morgan County, CO",0,"2020-03-17",0.209749791756192,1
"Morris County, NJ",0.97,"2020-02-28",3.91823207260991,1
"Multnomah County, OR",0.87,"2020-03-06",0.699105973859134,1
"Muscatine County, IA",0.49,"2020-03-13",0.226584336454397,1
"Muscogee County, GA",0.62,"2020-03-13",0.62865422988387,1
"Muskegon County, MI",1.33,"2020-03-13",0.455184475543683,1
"Nacogdoches County, TX",0.58,"2020-03-13",0.670443737280062,1
"Nassau County, NY",1.33,"2020-02-28",9.0792225526974,1
"Navajo County, AZ",1.31,"2020-03-13",0.859655883697741,1
"New Castle County, DE",1.04,"2020-03-06",0.959223487705263,1
"New Haven County, CT",0.75,"2020-02-28",1.91595664962074,1
"New London County, CT",0.07,"2020-03-10",0.257512992780043,1
"New York County, NY",1,"2020-02-21",11.1886934487155,1
"Nez Perce County, ID",0.38,"2020-03-07",0.313320332670561,1
"Niagara County, NY",0,"2020-03-10",0.272153959542439,1
"Norfolk County, MA",0.88,"2020-02-29",2.32494423545313,1
"Northampton County, PA",0.66,"2020-02-28",0.909363254177823,1
"Northampton County, VA",0,"2020-03-16",0.306956271597271,1
"Oakland County, MI",1.22,"2020-02-28",7.38554667051606,1
"Ocean County, NJ",0.94,"2020-02-28",4.79667678209078,1
"Oklahoma County, OK",0.92,"2020-03-06",0.956963347026489,1
"Oktibbeha County, MS",0.13,"2020-03-17",0.267537257398337,1
"Oneida County, NY",0.23,"2020-03-08",0.401304934761181,1
"Onondaga County, NY",0.63,"2020-03-07",0.529135073093539,1
"Ontario County, NY",0,"2020-03-10",0.272166119886634,1
"Orange County, CA",1.28,"2020-03-06",0.930451291055418,1
"Orange County, FL",0.51,"2020-02-28",0.729618930053201,1
"Orange County, NY",0.96,"2020-02-28",5.53571740391841,1
"Osceola County, FL",0.52,"2020-03-06",0.713696727396257,1
"Ottawa County, MI",0,"2020-03-16",0.221814213891596,1
"Ottawa County, OH",0,"2020-03-10",0.286703175536577,1
"Palm Beach County, FL",0.86,"2020-02-28",4.50137176093737,1
"Pasco County, FL",0.23,"2020-02-29",0.349404592944573,1
"Passaic County, NJ",0.82,"2020-02-28",3.51862815716998,1
"Pearl River County, MS",0.88,"2020-03-14",0.742838659020079,1
"Pennington County, SD",0.25,"2020-03-10",2.21104766120841,1
"Peoria County, IL",0.02,"2020-03-13",0.22497530512326,1
"Philadelphia County, PA",0.88,"2020-02-29",3.08483489408514,1
"Pickaway County, OH",0,"2020-03-10",0.286683095208061,1
"Pierce County, WA",0.63,"2020-02-29",0.684569014385779,1
"Pike County, PA",0.23,"2020-03-08",0.24810967374517,1
"Pima County, AZ",1.02,"2020-03-06",1.28106287561071,1
"Pinal County, AZ",0.73,"2020-03-14",0.652521213717241,1
"Pinellas County, FL",0.52,"2020-02-29",0.762516469908401,1
"Plymouth County, MA",1.02,"2020-03-06",1.52402346414812,1
"Polk County, FL",1.24,"2020-03-13",0.625283549413573,1
"Polk County, IA",1.33,"2020-03-13",0.71767425877252,1
"Portage County, OH",0.58,"2020-03-07",0.600923019007993,1
"Porter County, IN",0,"2020-03-16",0.21669386647139,1
"Potter County, TX",1.19,"2020-03-20",0.240851187452626,1
"Prince George's County, MD",0.84,"2020-02-28",5.25918643350613,1
"Prince William County, VA",1.16,"2020-03-13",0.290976710828212,1
"Providence County, RI",0.89,"2020-03-06",1.88520168033675,1
"Pueblo County, CO",1.08,"2020-03-13",0.367853198574033,1
