"state","fi_date","fd_date","rt_date","fi_ct","fd_ct","tot_deaths","tot_cases","doubling_time","rt","rt_std","pop"
"Pennsylvania",2020-03-06,2020-03-18,2020-06-11,2,1,7352,120281,110.723841109751,0.935761422109166,0.253,12802503
"Rhode Island",2020-03-01,2020-03-28,2020-06-11,1,2,1006,18577,200.06847133758,0.896879536531889,0.228,1056298
"South Carolina",2020-03-06,2020-03-16,2020-06-11,2,1,2098,102130,55.2936461413256,1.16392485369749,0.054,4896146
"South Dakota",2020-03-09,2020-03-10,2020-06-11,1,1,146,9713,75.4024080939782,0.979480699855715,0.127,858469
"Tennessee",2020-03-05,2020-03-20,2020-06-11,1,1,1271,124915,48.2916526397844,1.0146646290298,0.08,6600299
"Texas",2020-03-05,2020-03-16,2020-06-11,3,1,8708,508481,46.2423301927224,1.09581688536469,0.15,27469114
"Utah",2020-03-07,2020-03-22,2020-06-11,1,1,349,44766,73.6225788452392,1.08628075856789,0.058,2995919
"Vermont",2020-03-08,2020-03-19,2020-06-11,1,2,58,1472,190.438543613827,1.04384268957124,0.1,626042
"Virginia",2020-03-08,2020-03-14,2020-06-11,2,1,2344,101745,61.0866108406483,0.838795640425315,0.149,8382993
"Washington",2020-01-22,2020-02-29,2020-06-11,1,1,1716,64151,63.9188706827906,0.949205085485518,0.138,7170351
"West Virginia",2020-03-17,2020-03-29,2020-06-11,1,1,147,7875,44.2230996033855,0.984570720978512,0.079,1844128
"Wisconsin",2020-03-09,2020-03-19,2020-06-11,3,2,1006,61785,51.6063380657211,0.954723757611032,0.104,5771337
"Wyoming",2020-03-12,2020-04-13,2020-06-11,1,1,27,3073,66.8099408271965,1.03807419549567,0.057,586107
