"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","loss"
0.83,0.3,2020-03-06,0.48,47.9869678109072
0.84,0.3,2020-03-06,0.48,49.4816752664088
0.85,0.3,2020-03-06,0.48,50.9252279378113
0.86,0.3,2020-03-06,0.48,52.3193872223462
0.87,0.3,2020-03-06,0.48,53.6658760284412
0.88,0.3,2020-03-06,0.48,54.9658881461524
0.89,0.3,2020-03-06,0.48,56.2045518637328
0.9,0.3,2020-03-06,0.48,57.3619059640247
0.91,0.3,2020-03-06,0.48,58.4330021322409
0.92,0.3,2020-03-06,0.48,59.420067909011
0.93,0.3,2020-03-06,0.48,60.32815230431
0.94,0.3,2020-03-06,0.48,61.1648461179385
0.95,0.3,2020-03-06,0.48,61.9373759471386
0.55,0.35,2020-03-06,0.48,146.516284219873
0.56,0.35,2020-03-06,0.48,132.768198568647
0.57,0.35,2020-03-06,0.48,119.532529820901
0.58,0.35,2020-03-06,0.48,106.794316328437
0.59,0.35,2020-03-06,0.48,94.5398301312708
0.6,0.35,2020-03-06,0.48,82.7563802533492
0.61,0.35,2020-03-06,0.48,71.4327713563781
0.62,0.35,2020-03-06,0.48,60.5598075996171
0.63,0.35,2020-03-06,0.48,50.1318630001035
0.64,0.35,2020-03-06,0.48,40.1493210211845
0.65,0.35,2020-03-06,0.48,30.6255637810378
0.66,0.35,2020-03-06,0.48,21.6094317670986
0.67,0.35,2020-03-06,0.48,13.2848247663604
0.68,0.35,2020-03-06,0.48,6.71402557501044
0.69,0.35,2020-03-06,0.48,7.22111008275489
0.7,0.35,2020-03-06,0.48,13.3142442644382
0.71,0.35,2020-03-06,0.48,19.9779725652531
0.72,0.35,2020-03-06,0.48,26.3282804033665
0.73,0.35,2020-03-06,0.48,32.0324324592165
0.74,0.35,2020-03-06,0.48,36.5798981928219
0.75,0.35,2020-03-06,0.48,39.0636453200163
0.76,0.35,2020-03-06,0.48,40.9141356527703
0.77,0.35,2020-03-06,0.48,42.7011746388718
0.78,0.35,2020-03-06,0.48,44.426743263477
0.79,0.35,2020-03-06,0.48,46.0928395041563
0.8,0.35,2020-03-06,0.48,47.7014307129498
0.81,0.35,2020-03-06,0.48,49.2544595264438
0.82,0.35,2020-03-06,0.48,50.7538508917898
0.83,0.35,2020-03-06,0.48,52.2014047496734
0.84,0.35,2020-03-06,0.48,53.5989830488284
0.85,0.35,2020-03-06,0.48,54.948345157308
0.86,0.35,2020-03-06,0.48,56.2511906112618
0.87,0.35,2020-03-06,0.48,57.5081649393425
0.88,0.35,2020-03-06,0.48,58.6997888810345
0.89,0.35,2020-03-06,0.48,59.8048548381738
0.9,0.35,2020-03-06,0.48,60.819751196269
0.91,0.35,2020-03-06,0.48,61.7479715389945
0.92,0.35,2020-03-06,0.48,62.5966047361344
0.93,0.35,2020-03-06,0.48,63.3742700556408
0.94,0.35,2020-03-06,0.48,64.0890292363592
0.95,0.35,2020-03-06,0.48,64.7480439193587
0.55,0.4,2020-03-06,0.48,118.592949058943
0.56,0.4,2020-03-06,0.48,105.874786382581
0.57,0.4,2020-03-06,0.48,93.6496746332608
0.58,0.4,2020-03-06,0.48,81.9064392358995
0.59,0.4,2020-03-06,0.48,70.6357321978138
0.6,0.4,2020-03-06,0.48,59.8313891443099
0.61,0.4,2020-03-06,0.48,49.4921667724898
0.62,0.4,2020-03-06,0.48,39.6263144771068
0.63,0.4,2020-03-06,0.48,30.262685415479
0.64,0.4,2020-03-06,0.48,21.4862891765781
0.65,0.4,2020-03-06,0.48,13.5879196588498
0.66,0.4,2020-03-06,0.48,7.92366603845883
0.67,0.4,2020-03-06,0.48,8.65702526402229
0.68,0.4,2020-03-06,0.48,14.1475510907149
0.69,0.4,2020-03-06,0.48,20.4165646344731
0.7,0.4,2020-03-06,0.48,26.4830144967011
0.71,0.4,2020-03-06,0.48,32.019934380604
0.72,0.4,2020-03-06,0.48,36.7424914194464
0.73,0.4,2020-03-06,0.48,40.2239406066603
0.74,0.4,2020-03-06,0.48,42.3037593481937
0.75,0.4,2020-03-06,0.48,44.0916394448278
0.76,0.4,2020-03-06,0.48,45.8175978900705
0.77,0.4,2020-03-06,0.48,47.4836480171581
0.78,0.4,2020-03-06,0.48,49.0918175460418
0.79,0.4,2020-03-06,0.48,50.6440650017642
0.8,0.4,2020-03-06,0.48,52.1423295564586
0.81,0.4,2020-03-06,0.48,53.5884841500505
0.82,0.4,2020-03-06,0.48,54.9843553763216
0.83,0.4,2020-03-06,0.48,56.3317297703541
0.84,0.4,2020-03-06,0.48,57.6323354399527
0.85,0.4,2020-03-06,0.48,58.8878454148915
0.86,0.4,2020-03-06,0.48,60.0975144079269
0.87,0.4,2020-03-06,0.48,61.234378854293
0.88,0.4,2020-03-06,0.48,62.2778336652085
0.89,0.4,2020-03-06,0.48,63.2264349191711
0.9,0.4,2020-03-06,0.48,64.086170155659
0.91,0.4,2020-03-06,0.48,64.8667765807555
0.92,0.4,2020-03-06,0.48,65.5778623407811
0.93,0.4,2020-03-06,0.48,66.2281601604698
0.94,0.4,2020-03-06,0.48,66.8251523854116
0.95,0.4,2020-03-06,0.48,67.3753473035118
0.55,0.45,2020-03-06,0.48,92.3977918389721
0.56,0.45,2020-03-06,0.48,80.7455535861417
0.57,0.45,2020-03-06,0.48,69.5808211656844
0.58,0.45,2020-03-06,0.48,58.901819914394
0.59,0.45,2020-03-06,0.48,48.7144496634538
0.6,0.45,2020-03-06,0.48,39.0395958557335
0.61,0.45,2020-03-06,0.48,29.9313955860746
0.62,0.45,2020-03-06,0.48,21.5330085303096
0.63,0.45,2020-03-06,0.48,14.2847366127528
0.64,0.45,2020-03-06,0.48,9.73768928428311
0.65,0.45,2020-03-06,0.48,10.7043560354803
0.66,0.45,2020-03-06,0.48,15.5666385278265
0.67,0.45,2020-03-06,0.48,21.3725877389447
0.68,0.45,2020-03-06,0.48,27.122072161621
0.69,0.45,2020-03-06,0.48,32.4633227286501
0.7,0.45,2020-03-06,0.48,37.175279502261
0.71,0.45,2020-03-06,0.48,41.0242197031048
0.72,0.45,2020-03-06,0.48,43.7713322611963
0.73,0.45,2020-03-06,0.48,45.6396913446481
0.74,0.45,2020-03-06,0.48,47.3584599948376
0.75,0.45,2020-03-06,0.48,49.0173913772228
0.76,0.45,2020-03-06,0.48,50.6184825724977
0.77,0.45,2020-03-06,0.48,52.163670422887
0.78,0.45,2020-03-06,0.48,53.6548923386469
0.79,0.45,2020-03-06,0.48,55.0940134062621
0.8,0.45,2020-03-06,0.48,56.482858632697
0.81,0.45,2020-03-06,0.48,57.8232139851135
0.82,0.45,2020-03-06,0.48,59.1167675891306
0.83,0.45,2020-03-06,0.48,60.3652260902325
0.84,0.45,2020-03-06,0.48,61.5701981896413
0.85,0.45,2020-03-06,0.48,62.7269824212105
0.86,0.45,2020-03-06,0.48,63.7987777635827
0.87,0.45,2020-03-06,0.48,64.7682958061715
0.88,0.45,2020-03-06,0.48,65.6381971249608
0.89,0.45,2020-03-06,0.48,66.4185755092944
0.9,0.45,2020-03-06,0.48,67.121589486655
0.91,0.45,2020-03-06,0.48,67.7580238349549
0.92,0.45,2020-03-06,0.48,68.3368627519581
0.93,0.45,2020-03-06,0.48,68.8662599151065
0.94,0.45,2020-03-06,0.48,69.3525576902879
0.95,0.45,2020-03-06,0.48,70.3203391953471
0.55,0.5,2020-03-06,0.48,92.3977918389721
0.56,0.5,2020-03-06,0.48,80.7455535861417
0.57,0.5,2020-03-06,0.48,69.5808211656844
0.58,0.5,2020-03-06,0.48,58.901819914394
0.59,0.5,2020-03-06,0.48,48.7144496634538
0.6,0.5,2020-03-06,0.48,39.0395958557335
0.61,0.5,2020-03-06,0.48,29.9313955860746
0.62,0.5,2020-03-06,0.48,21.5330085303096
0.63,0.5,2020-03-06,0.48,14.2847366127528
0.64,0.5,2020-03-06,0.48,9.73768928428311
0.65,0.5,2020-03-06,0.48,10.7043560354803
0.66,0.5,2020-03-06,0.48,15.5666385278265
0.67,0.5,2020-03-06,0.48,21.3725877389447
0.68,0.5,2020-03-06,0.48,27.122072161621
0.69,0.5,2020-03-06,0.48,32.4633227286501
0.7,0.5,2020-03-06,0.48,37.175279502261
0.71,0.5,2020-03-06,0.48,41.0242197031048
0.72,0.5,2020-03-06,0.48,43.7713322611963
0.73,0.5,2020-03-06,0.48,45.6396913446481
0.74,0.5,2020-03-06,0.48,47.3584599948376
0.75,0.5,2020-03-06,0.48,49.0173913772228
0.76,0.5,2020-03-06,0.48,50.6184825724977
0.77,0.5,2020-03-06,0.48,52.163670422887
0.78,0.5,2020-03-06,0.48,53.6548923386469
0.79,0.5,2020-03-06,0.48,55.0940134062621
0.8,0.5,2020-03-06,0.48,56.482858632697
0.81,0.5,2020-03-06,0.48,57.8232139851135
0.82,0.5,2020-03-06,0.48,59.1167675891306
