region,date,mean,median,lower_90,upper_90,lower_50,upper_50
"Arlington County, VA",2020-03-06,1.1624813368054339,1.1379854972667243,0.8847344267297265,1.4778700985760957,0.9623386529167443,1.1907280437645618
"Arlington County, VA",2020-03-07,1.1616997130945024,1.1311058012578774,0.8522291388767043,1.444454906992647,0.9821980796061188,1.2090835958363808
"Arlington County, VA",2020-03-08,1.1637639822422972,1.1329275480162706,0.8985062585628817,1.4991032593513547,0.9845179555444715,1.2079226340227152
"Arlington County, VA",2020-03-09,1.162777002784999,1.136752456293026,0.8593823180277844,1.4552364310987307,0.973835966330178,1.1982882153578798
"Arlington County, VA",2020-03-10,1.160480860283506,1.1334003598389095,0.8793551297494592,1.4751290265695132,0.9638148495362233,1.1873996011054289
"Arlington County, VA",2020-03-11,1.160428884349162,1.1298656875369477,0.9053738482355956,1.49530466575855,0.9825051038951718,1.196302335805143
"Arlington County, VA",2020-03-12,1.158693732716139,1.132474504799501,0.8901004780030884,1.4571701285275636,1.0052796995739492,1.2187081582691863
"Arlington County, VA",2020-03-13,1.1579924128921137,1.132491792651569,0.8914573124331178,1.4640135233006921,0.9862709629544982,1.1959298164159613
"Arlington County, VA",2020-03-14,1.1537296365650511,1.1302914178885435,0.8822600409961959,1.4379504841196122,0.9865176749817687,1.1947602843507297
"Arlington County, VA",2020-03-15,1.152800137779438,1.1264698425688118,0.8927236485432648,1.4378709565552203,0.9974537382815841,1.2046759133164653
"Arlington County, VA",2020-03-16,1.1479303050440897,1.123580483391987,0.8745917316858943,1.4013534870878919,0.9863947568668213,1.1957609539666838
"Arlington County, VA",2020-03-17,1.1461157741513934,1.1191534715296418,0.9046158299552123,1.4351528716682955,1.003601222836443,1.2076212824145212
"Arlington County, VA",2020-03-18,1.1435993452421978,1.120000598889518,0.9050308507322811,1.423155991560179,0.9815925612835606,1.1844163391437146
"Arlington County, VA",2020-03-19,1.1397266501618994,1.1196815626220853,0.9074372128677736,1.4159027202107852,1.014427062783881,1.2113230261764247
"Arlington County, VA",2020-03-20,1.137619987860766,1.114358873442991,0.9140692959222686,1.4026915201099641,0.9801182111382135,1.1749961321895266
"Arlington County, VA",2020-03-21,1.133509151731666,1.115477400502464,0.8964489955035392,1.3904285689168494,0.9945027078088109,1.1895880998629405
"Arlington County, VA",2020-03-22,1.1316729445166802,1.1157808905360123,0.900992519999708,1.373436169267793,0.9865638909748493,1.1737358886883986
